"Time,s","Current,A"
4.5e-05,-3.637919024175826e-08
0.000145,-3.1856725407309524e-08
0.000245,-2.7549511777708983e-08
0.000345,-2.3550730904836593e-08
0.000445,-1.9921355221134356e-08
0.000545,-1.6699297588730212e-08
0.000645,-1.3906903206597934e-08
0.000745,-1.1557050785439064e-08
0.0008449999999999,-9.658145008263856e-09
0.000945,-8.21823225762681e-09
0.001045,-7.248368682772354e-09
0.001145,-6.7653869202287074e-09
0.001245,-6.794158361982513e-09
0.001345,-7.369325627811921e-09
0.001445,-8.536614696169866e-09
0.001545,-1.0353725434600004e-08
0.001645,-1.2890759971862398e-08
0.001745,-1.6230122548872724e-08
0.001845,-2.0465715536166063e-08
0.001945,-2.570132520650513e-08
0.002045,-3.2047999055698603e-08
0.002145,-3.9620119742335316e-08
0.002245,-4.852983198378194e-08
0.002345,-5.8879373741003e-08
0.002445,-7.075084865575422e-08
0.002545,-8.419294198641505e-08
0.002645,-9.920391142163737e-08
0.002745,-1.1571001512968413e-07
0.002845,-1.335385578000123e-07
0.002945,-1.523845873675837e-07
0.003045,-1.7177025369550487e-07
0.003145,-1.9099554067562498e-07
0.003245,-2.090796054198587e-07
0.003345,-2.246999508078692e-07
0.003445,-2.364072987899603e-07
0.003545,-2.434474775587061e-07
0.003645,-2.4614627563493484e-07
0.003745,-2.4592025766001945e-07
0.003845,-2.449150136358816e-07
0.003945,-2.4485322259728805e-07
0.004045,-2.464360238212648e-07
0.004145,-2.49368854380297e-07
0.004245,-2.524460592940112e-07
0.004345,-2.5368885639060524e-07
0.004445,-2.5107425757072696e-07
0.004545,-2.4338635690800024e-07
0.004645,-2.3045646490971817e-07
0.004745,-2.1318138070120213e-07
0.004845,-1.9339124102590718e-07
0.004945,-1.7298692315288537e-07
0.005045,-1.5311314790446565e-07
0.0051449999999999,-1.3436254200237474e-07
0.005245,-1.1715491102025296e-07
0.005345,-1.0175809575238022e-07
0.005445,-8.830007702355931e-08
0.005545,-7.679063975623147e-08
0.005645,-6.714449114990653e-08
0.005745,-5.9204971011549156e-08
0.005845,-5.2767628205076974e-08
0.005945,-4.76014553615144e-08
0.006045,-4.3466660109616584e-08
0.006145,-4.012918433547698e-08
0.006245,-3.737355227981512e-08
0.006345,-3.501534551321024e-08
0.006445,-3.291191487624773e-08
0.006545,-3.0969013922946765e-08
0.006645,-2.9140634238214426e-08
0.006745,-2.7421416911450837e-08
0.006845,-2.5834202651134082e-08
0.006945,-2.4416026835173857e-08
0.007045,-2.320568289839046e-08
0.007145,-2.2234623792642807e-08
0.007245,-2.1521235929517912e-08
0.007345,-2.1068465909241393e-08
0.007445,-2.0863899803298596e-08
0.007545,-2.0881359920897872e-08
0.007645,-2.108377108739628e-08
0.007745,-2.1426522855020028e-08
0.007845,-2.186115825968212e-08
0.007945,-2.2339155216102774e-08
0.008045,-2.2815682249603522e-08
0.008145,-2.3253042770014548e-08
0.008245,-2.3623528628754286e-08
0.008345,-2.3911264937240483e-08
0.008445,-2.4112698504722583e-08
0.008545,-2.4235566379131825e-08
0.008645,-2.4296595528451232e-08
0.008745,-2.431829347566608e-08
0.008845,-2.4325349275797842e-08
0.008945,-2.4341363779992317e-08
0.009045,-2.4386129068834833e-08
0.009145,-2.4473899551102266e-08
0.009245,-2.4612428358853558e-08
0.009345,-2.4802883303120183e-08
0.009445,-2.5040485848246352e-08
0.009545,-2.5315611700504795e-08
